,filename
92,blues.00092.wav
888,reggae.00088.wav
188,classical.00088.wav
604,metal.00004.wav
192,classical.00092.wav
420,hiphop.00020.wav
90,blues.00090.wav
339,disco.00039.wav
35,blues.00035.wav
938,rock.00038.wav
31,blues.00031.wav
939,rock.00039.wav
51,blues.00051.wav
971,rock.00071.wav
129,classical.00029.wav
372,disco.00072.wav
213,country.00013.wav
412,hiphop.00012.wav
562,jazz.00062.wav
770,pop.00070.wav
706,pop.00006.wav
830,reggae.00030.wav
846,reggae.00046.wav
925,rock.00025.wav
442,hiphop.00042.wav
960,rock.00060.wav
765,pop.00065.wav
446,hiphop.00046.wav
520,jazz.00020.wav
230,country.00030.wav
901,rock.00001.wav
702,pop.00002.wav
256,country.00056.wav
867,reggae.00067.wav
823,reggae.00023.wav
669,metal.00069.wav
248,country.00048.wav
477,hiphop.00077.wav
476,hiphop.00076.wav
839,reggae.00039.wav
556,jazz.00056.wav
313,disco.00013.wav
551,jazz.00051.wav
411,hiphop.00011.wav
368,disco.00068.wav
758,pop.00058.wav
707,pop.00007.wav
7,blues.00007.wav
409,hiphop.00009.wav
915,rock.00015.wav
895,reggae.00095.wav
74,blues.00074.wav
999,rock.00099.wav
130,classical.00030.wav
220,country.00020.wav
849,reggae.00049.wav
336,disco.00036.wav
208,country.00008.wav
791,pop.00091.wav
746,pop.00046.wav
316,disco.00016.wav
276,country.00076.wav
424,hiphop.00024.wav
836,reggae.00036.wav
699,metal.00099.wav
829,reggae.00029.wav
675,metal.00075.wav
504,jazz.00004.wav
513,jazz.00013.wav
463,hiphop.00063.wav
401,hiphop.00001.wav
149,classical.00049.wav
738,pop.00038.wav
540,jazz.00040.wav
98,blues.00098.wav
123,classical.00023.wav
113,classical.00013.wav
640,metal.00040.wav
648,metal.00048.wav
542,jazz.00042.wav
132,classical.00032.wav
565,jazz.00065.wav
649,metal.00049.wav
868,reggae.00068.wav
827,reggae.00027.wav
141,classical.00041.wav
709,pop.00009.wav
946,rock.00046.wav
524,jazz.00024.wav
388,disco.00088.wav
155,classical.00055.wav
47,blues.00047.wav
60,blues.00060.wav
15,blues.00015.wav
335,disco.00035.wav
772,pop.00072.wav
615,metal.00015.wav
667,metal.00067.wav
906,rock.00006.wav
431,hiphop.00031.wav
465,hiphop.00065.wav
250,country.00050.wav
240,country.00040.wav
948,rock.00048.wav
636,metal.00036.wav
30,blues.00030.wav
555,jazz.00055.wav
862,reggae.00062.wav
997,rock.00097.wav
385,disco.00085.wav
822,reggae.00022.wav
324,disco.00024.wav
181,classical.00081.wav
57,blues.00057.wav
658,metal.00058.wav
588,jazz.00088.wav
600,metal.00000.wav
638,metal.00038.wav
539,jazz.00039.wav
731,pop.00031.wav
415,hiphop.00015.wav
228,country.00028.wav
100,classical.00000.wav
87,blues.00087.wav
190,classical.00090.wav
392,disco.00092.wav
277,country.00077.wav
584,jazz.00084.wav
303,disco.00003.wav
107,classical.00007.wav
781,pop.00081.wav
937,rock.00037.wav
762,pop.00062.wav
353,disco.00053.wav
533,jazz.00033.wav
260,country.00060.wav
221,country.00021.wav
608,metal.00008.wav
776,pop.00076.wav
293,country.00093.wav
370,disco.00070.wav
955,rock.00055.wav
943,rock.00043.wav
430,hiphop.00030.wav
666,metal.00066.wav
177,classical.00077.wav
271,country.00071.wav
382,disco.00082.wav
869,reggae.00069.wav
82,blues.00082.wav
